Li6_enrichment,Moderator_ratio,Neutron_multiplier,Tbr_OpenMC,Stddev
0.1,0.0,0.0,0.868011075424844,0.003139141999202
0.1,0.0,0.1,0.868074137892973,0.00389791006842
0.1,0.0,0.3,0.8723780588587341,0.002893218617603
0.1,0.0,0.5,0.8647554165555991,0.003405659424306
0.1,0.0,0.7,0.867451964718384,0.003762165736278
0.1,0.0,0.9,0.8751147532787831,0.003405335156661
0.1,0.1,0.0,0.8118778426877461,0.003707513469294
0.1,0.1,0.1,0.8131023485102221,0.003325759657862
0.1,0.1,0.3,0.8277224628259261,0.004222752653922
0.1,0.1,0.5,0.8322874331100321,0.003664438861901
0.1,0.1,0.7,0.8351381921944351,0.004012839375627
0.1,0.1,0.9,0.8354237010589111,0.003290660792621
0.1,0.3,0.0,0.8174868337016401,0.004034351819739
0.1,0.3,0.1,0.8272143757751941,0.002239612024599
0.1,0.3,0.3,0.8481938683860141,0.002747419778241
0.1,0.3,0.5,0.8605129382080001,0.003460111682195
0.1,0.3,0.7,0.8646245607886661,0.00397539093263
0.1,0.3,0.9,0.864864749614022,0.002763657858184
0.1,0.5,0.0,0.78876022036004,0.00295998921246
0.1,0.5,0.1,0.7934675404449031,0.002478967324937
0.1,0.5,0.3,0.817685292668604,0.002603843397218
0.1,0.5,0.5,0.831600376324068,0.002929392870863
0.1,0.5,0.7,0.84918327893762,0.003785973581
0.1,0.5,0.9,0.831190359765957,0.002870104664472
0.1,0.7,0.0,0.74802243027739,0.003356789029801
0.1,0.7,0.1,0.7587483063260241,0.00335159832404
0.1,0.7,0.3,0.7785681753656991,0.003320305179275
0.1,0.7,0.5,0.797251275147223,0.002886707407186
0.1,0.7,0.7,0.807700631299,0.003514705522214
0.1,0.7,0.9,0.7956056249356861,0.002416625176186
0.1,0.9,0.0,0.6737012420270251,0.003139843439402
0.1,0.9,0.1,0.674602358115958,0.003203689242851
0.1,0.9,0.3,0.6833376158833361,0.002535044299478
0.1,0.9,0.5,0.691677681161286,0.003048462989101
0.1,0.9,0.7,0.7024876416023511,0.002609047731576
0.1,0.9,0.9,0.6808086535444641,0.002867617783102
0.3,0.0,0.0,0.9346459479257312,0.003597729476949
0.3,0.0,0.1,0.933478617344608,0.003637026566976
0.3,0.0,0.3,0.937928252610687,0.004075027172858
0.3,0.0,0.5,0.934795693526146,0.003461887037374
0.3,0.0,0.7,0.934323770421249,0.003326403360958
0.3,0.0,0.9,0.9353866701274012,0.003918590806474
0.3,0.1,0.0,0.8696906542057611,0.00302120375081
0.3,0.1,0.1,0.875790217554366,0.0036193959007
0.3,0.1,0.3,0.890232161803968,0.003896376597019
0.3,0.1,0.5,0.8969892531896201,0.002907949792446
0.3,0.1,0.7,0.908869210273116,0.001948289419165
0.3,0.1,0.9,0.9118334557919,0.004180379445089
0.3,0.3,0.0,0.8800678255683411,0.00392445408849
0.3,0.3,0.1,0.8989051018507561,0.003831468903804
0.3,0.3,0.3,0.9200928449894372,0.002572223768325
0.3,0.3,0.5,0.933397100319696,0.004110074022515
0.3,0.3,0.7,0.943355665230695,0.002582348973736
0.3,0.3,0.9,0.9562197905677652,0.0031860193897
0.3,0.5,0.0,0.852375542790976,0.002881806397493
0.3,0.5,0.1,0.8700993794318571,0.002870223885375
0.3,0.5,0.3,0.8931907971674251,0.002923643850623
0.3,0.5,0.5,0.927179597336347,0.003022292689423
0.3,0.5,0.7,0.935545852628579,0.002905037256791
0.3,0.5,0.9,0.94254951582714,0.003464449927662
0.3,0.7,0.0,0.823909535389385,0.003263631242142
0.3,0.7,0.1,0.8354533740003781,0.002965184733556
0.3,0.7,0.3,0.8660909289137131,0.004926453859861
0.3,0.7,0.5,0.892558787471977,0.003257901198565
0.3,0.7,0.7,0.918591230931405,0.002978687873678
0.3,0.7,0.9,0.9340272041068932,0.003745656447682
0.3,0.9,0.0,0.7584088576133611,0.003467946470612
0.3,0.9,0.1,0.761558695048676,0.002661399962642
0.3,0.9,0.3,0.7844832478150301,0.003217255719833
0.3,0.9,0.5,0.8098455207114731,0.00291800331477
0.3,0.9,0.7,0.8360001981801991,0.003877504725247
